date,store,category,qty,price,revenue
2024-01-11,S1,C,63,12.0,756.0
2024-01-11,S2,A,49,20.0,980.0
2024-01-11,S2,B,27,35.0,945.0
2024-01-11,S2,C,75,12.0,900.0
2024-01-11,S3,A,43,20.0,860.0
2024-01-11,S3,B,19,35.0,665.0
2024-01-11,S3,C,77,12.0,924.0
2024-01-11,S4,A,51,20.0,1020.0
2024-01-11,S4,B,16,35.0,560.0
2024-01-11,S4,C,57,12.0,684.0
2024-01-11,S5,A,41,20.0,820.0
2024-01-11,S5,B,19,35.0,665.0
2024-01-11,S5,C,75,12.0,900.0
2024-01-12,S1,A,60,20.0,1200.0
2024-01-12,S1,B,23,35.0,805.0
2024-01-12,S1,C,88,12.0,1056.0
2024-01-12,S2,A,48,20.0,960.0
2024-01-12,S2,B,25,35.0,875.0
2024-01-12,S2,C,61,12.0,732.0
2024-01-12,S3,A,44,20.0,880.0
2024-01-12,S3,B,28,35.0,980.0
2024-01-12,S3,C,84,12.0,1008.0
2024-01-12,S4,A,46,20.0,920.0
2024-01-12,S4,B,34,35.0,1190.0
2024-01-12,S4,C,77,12.0,924.0
2024-01-12,S5,A,46,20.0,920.0
2024-01-12,S5,B,26,35.0,910.0
2024-01-12,S5,C,70,12.0,840.0
2024-01-13,S1,A,51,20.0,1020.0
2024-01-13,S1,B,26,35.0,910.0
2024-01-13,S1,C,79,12.0,948.0
2024-01-13,S2,A,53,20.0,1060.0
2024-01-13,S2,B,27,35.0,945.0
2024-01-13,S2,C,82,12.0,984.0
2024-01-13,S3,A,51,20.0,1020.0
2024-01-13,S3,B,25,35.0,875.0
2024-01-13,S3,C,80,12.0,960.0
2024-01-13,S4,A,53,20.0,1060.0
2024-01-13,S4,B,31,35.0,1085.0
2024-01-13,S4,C,79,12.0,948.0
2024-01-13,S5,A,54,20.0,1080.0
2024-01-13,S5,B,26,35.0,910.0
2024-01-13,S5,C,85,12.0,1020.0
2024-01-14,S1,A,41,20.0,820.0
2024-01-14,S1,B,20,35.0,700.0
2024-01-14,S1,C,71,12.0,852.0
2024-01-14,S2,A,40,20.0,800.0
2024-01-14,S2,B,22,35.0,770.0
2024-01-14,S2,C,87,12.0,1044.0
2024-01-14,S3,A,46,20.0,920.0
2024-01-14,S3,B,30,35.0,1050.0
2024-01-14,S3,C,74,12.0,888.0
2024-01-14,S4,A,41,20.0,820.0
2024-01-14,S4,B,29,35.0,1015.0
2024-01-14,S4,C,82,12.0,984.0
2024-01-14,S5,A,40,20.0,800.0
2024-01-14,S5,B,19,35.0,665.0
2024-01-14,S5,C,80,12.0,960.0
2024-01-15,S1,A,25,20.0,500.0
2024-01-15,S1,B,25,35.0,875.0
2024-01-15,S1,C,49,12.0,588.0
2024-01-15,S2,A,32,20.0,640.0
2024-01-15,S2,B,19,35.0,665.0
2024-01-15,S2,C,59,12.0,708.0
2024-01-15,S3,A,38,20.0,760.0
2024-01-15,S3,B,18,35.0,630.0
2024-01-15,S3,C,59,12.0,708.0
2024-01-15,S4,A,36,20.0,720.0
2024-01-15,S4,B,23,35.0,805.0
2024-01-15,S4,C,55,12.0,660.0
2024-01-15,S5,A,43,20.0,860.0
2024-01-15,S5,B,28,35.0,980.0
2024-01-15,S5,C,68,12.0,816.0
2024-01-16,S1,A,39,20.0,780.0
2024-01-16,S1,B,15,35.0,525.0
2024-01-16,S1,C,59,12.0,708.0
2024-01-16,S2,A,33,20.0,660.0
2024-01-16,S2,B,13,35.0,455.0
2024-01-16,S2,C,51,12.0,612.0
2024-01-16,S3,A,49,20.0,980.0
2024-01-16,S3,B,14,35.0,490.0
2024-01-16,S3,C,59,12.0,708.0
2024-01-16,S4,A,33,20.0,660.0
2024-01-16,S4,B,16,35.0,560.0
2024-01-16,S4,C,52,12.0,624.0
2024-01-16,S5,A,32,20.0,640.0
2024-01-16,S5,B,23,35.0,805.0
2024-01-16,S5,C,73,12.0,876.0
2024-01-17,S1,A,38,20.0,760.0
2024-01-17,S1,B,22,35.0,770.0
2024-01-17,S1,C,68,12.0,816.0
2024-01-17,S2,A,27,20.0,540.0
2024-01-17,S2,B,21,35.0,735.0
2024-01-17,S2,C,66,12.0,792.0
2024-01-17,S3,A,49,20.0,980.0
2024-01-17,S3,B,17,35.0,595.0
2024-01-17,S3,C,66,12.0,792.0
2024-01-17,S4,A,42,20.0,840.0
2024-01-17,S4,B,17,35.0,595.0
2024-01-17,S4,C,52,12.0,624.0
2024-01-17,S5,A,32,20.0,640.0
2024-01-17,S5,B,27,35.0,945.0
2024-01-17,S5,C,74,12.0,888.0
2024-01-18,S1,A,48,20.0,960.0
2024-01-18,S1,B,18,35.0,630.0
2024-01-18,S1,C,78,12.0,936.0
2024-01-18,S2,A,34,20.0,680.0
2024-01-18,S2,B,31,35.0,1085.0
2024-01-18,S2,C,75,12.0,900.0
2024-01-18,S3,A,46,20.0,920.0
2024-01-18,S3,B,22,35.0,770.0
2024-01-18,S3,C,71,12.0,852.0
2024-01-18,S4,A,29,20.0,580.0
2024-01-18,S4,B,26,35.0,910.0
2024-01-18,S4,C,65,12.0,780.0
2024-01-18,S5,A,39,20.0,780.0
2024-01-18,S5,B,19,35.0,665.0
2024-01-18,S5,C,73,12.0,876.0
2024-01-19,S1,A,42,20.0,840.0
2024-01-19,S1,B,28,35.0,980.0
2024-01-19,S1,C,84,12.0,1008.0
2024-01-19,S2,A,49,20.0,980.0
2024-01-19,S2,B,24,35.0,840.0
2024-01-19,S2,C,77,12.0,924.0
2024-01-19,S3,A,41,20.0,820.0
2024-01-19,S3,B,20,35.0,700.0
2024-01-19,S3,C,69,12.0,828.0
2024-01-19,S4,A,44,20.0,880.0
2024-01-19,S4,B,21,35.0,735.0
2024-01-19,S4,C,78,12.0,936.0
2024-01-19,S5,A,36,20.0,720.0
2024-01-19,S5,B,24,35.0,840.0
2024-01-19,S5,C,61,12.0,732.0
2024-01-20,S1,A,54,20.0,1080.0
2024-01-20,S1,B,23,35.0,805.0
2024-01-20,S1,C,64,12.0,768.0
2024-01-20,S2,A,53,20.0,1060.0
2024-01-20,S2,B,22,35.0,770.0
2024-01-20,S2,C,77,12.0,924.0
2024-01-20,S3,A,34,20.0,680.0
2024-01-20,S3,B,37,35.0,1295.0
2024-01-20,S3,C,84,12.0,1008.0
2024-01-20,S4,A,47,20.0,940.0
2024-01-20,S4,B,26,35.0,910.0
2024-01-20,S4,C,81,12.0,972.0
2024-01-20,S5,A,47,20.0,940.0
2024-01-20,S5,B,19,35.0,665.0
2024-01-20,S5,C,89,12.0,1068.0
2024-01-21,S1,A,43,20.0,860.0
2024-01-21,S1,B,22,35.0,770.0
2024-01-21,S1,C,71,12.0,852.0
2024-01-21,S2,A,46,20.0,920.0
2024-01-21,S2,B,32,35.0,1120.0
2024-01-21,S2,C,68,12.0,816.0
2024-01-21,S3,A,27,20.0,540.0
2024-01-21,S3,B,18,35.0,630.0
2024-01-21,S3,C,90,12.0,1080.0
2024-01-21,S4,A,35,20.0,700.0
2024-01-21,S4,B,24,35.0,840.0
2024-01-21,S4,C,73,12.0,876.0
2024-01-21,S5,A,40,20.0,800.0
2024-01-21,S5,B,27,35.0,945.0
2024-01-21,S5,C,83,12.0,996.0
2024-01-22,S1,A,43,20.0,860.0
2024-01-22,S1,B,27,35.0,945.0
2024-01-22,S1,C,64,12.0,768.0
2024-01-22,S2,A,37,20.0,740.0
2024-01-22,S2,B,15,35.0,525.0
2024-01-22,S2,C,48,12.0,576.0
2024-01-22,S3,A,29,20.0,580.0
2024-01-22,S3,B,19,35.0,665.0
2024-01-22,S3,C,60,12.0,720.0
2024-01-22,S4,A,34,20.0,680.0
2024-01-22,S4,B,17,35.0,595.0
2024-01-22,S4,C,72,12.0,864.0
2024-01-22,S5,A,34,20.0,680.0
2024-01-22,S5,B,17,35.0,595.0
2024-01-22,S5,C,64,12.0,768.0
2024-01-23,S1,A,45,20.0,900.0
2024-01-23,S1,B,22,35.0,770.0
2024-01-23,S1,C,64,12.0,768.0
2024-01-23,S2,A,43,20.0,860.0
2024-01-23,S2,B,12,35.0,420.0
2024-01-23,S2,C,75,12.0,900.0
2024-01-23,S3,A,44,20.0,880.0
2024-01-23,S3,B,11,35.0,385.0
2024-01-23,S3,C,59,12.0,708.0
2024-01-23,S4,A,38,20.0,760.0
2024-01-23,S4,B,23,35.0,805.0
2024-01-23,S4,C,59,12.0,708.0
2024-01-23,S5,A,47,20.0,940.0
2024-01-23,S5,B,27,35.0,945.0
2024-01-23,S5,C,57,12.0,684.0
2024-01-24,S1,A,35,20.0,700.0
2024-01-24,S1,B,18,35.0,630.0
2024-01-24,S1,C,52,12.0,624.0
2024-01-24,S2,A,40,20.0,800.0
2024-01-24,S2,B,22,35.0,770.0
2024-01-24,S2,C,55,12.0,660.0
2024-01-24,S3,A,31,20.0,620.0
2024-01-24,S3,B,23,35.0,805.0
2024-01-24,S3,C,58,12.0,696.0
2024-01-24,S4,A,29,20.0,580.0
2024-01-24,S4,B,22,35.0,770.0
2024-01-24,S4,C,57,12.0,684.0
2024-01-24,S5,A,37,20.0,740.0
2024-01-24,S5,B,17,35.0,595.0
2024-01-24,S5,C,64,12.0,768.0
2024-01-25,S1,A,44,20.0,880.0
2024-01-25,S1,B,36,35.0,1260.0
2024-01-25,S1,C,64,12.0,768.0
2024-01-25,S2,A,54,20.0,1080.0
2024-01-25,S2,B,22,35.0,770.0
2024-01-25,S2,C,75,12.0,900.0
2024-01-25,S3,A,37,20.0,740.0
2024-01-25,S3,B,14,35.0,490.0
2024-01-25,S3,C,66,12.0,792.0
2024-01-25,S4,A,39,20.0,780.0
2024-01-25,S4,B,25,35.0,875.0
2024-01-25,S4,C,83,12.0,996.0
2024-01-25,S5,A,30,20.0,600.0
2024-01-25,S5,B,24,35.0,840.0
2024-01-25,S5,C,66,12.0,792.0
2024-01-26,S1,A,34,20.0,680.0
2024-01-26,S1,B,27,35.0,945.0
2024-01-26,S1,C,81,12.0,972.0
2024-01-26,S2,A,40,20.0,800.0
2024-01-26,S2,B,27,35.0,945.0
2024-01-26,S2,C,61,12.0,732.0
2024-01-26,S3,A,49,20.0,980.0
2024-01-26,S3,B,29,35.0,1015.0
2024-01-26,S3,C,69,12.0,828.0
2024-01-26,S4,A,39,20.0,780.0
2024-01-26,S4,B,23,35.0,805.0
2024-01-26,S4,C,78,12.0,936.0
2024-01-26,S5,A,43,20.0,860.0
2024-01-26,S5,B,28,35.0,980.0
2024-01-26,S5,C,73,12.0,876.0
2024-01-27,S1,A,59,20.0,1180.0
2024-01-27,S1,B,17,35.0,595.0
2024-01-27,S1,C,61,12.0,732.0
2024-01-27,S2,A,46,20.0,920.0
2024-01-27,S2,B,18,35.0,630.0
2024-01-27,S2,C,78,12.0,936.0
2024-01-27,S3,A,48,20.0,960.0
2024-01-27,S3,B,26,35.0,910.0
2024-01-27,S3,C,90,12.0,1080.0
2024-01-27,S4,A,50,20.0,1000.0
2024-01-27,S4,B,26,35.0,910.0
2024-01-27,S4,C,78,12.0,936.0
2024-01-27,S5,A,32,20.0,640.0
2024-01-27,S5,B,23,35.0,805.0
2024-01-27,S5,C,75,12.0,900.0
2024-01-28,S1,A,59,20.0,1180.0
2024-01-28,S1,B,23,35.0,805.0
2024-01-28,S1,C,69,12.0,828.0
2024-01-28,S2,A,38,20.0,760.0
2024-01-28,S2,B,21,35.0,735.0
2024-01-28,S2,C,90,12.0,1080.0
2024-01-28,S3,A,49,20.0,980.0
2024-01-28,S3,B,22,35.0,770.0
2024-01-28,S3,C,58,12.0,696.0
2024-01-28,S4,A,45,20.0,900.0
2024-01-28,S4,B,28,35.0,980.0
2024-01-28,S4,C,101,12.0,1212.0
2024-01-28,S5,A,45,20.0,900.0
2024-01-28,S5,B,19,35.0,665.0
2024-01-28,S5,C,69,12.0,828.0
2024-01-29,S1,A,29,20.0,580.0
2024-01-29,S1,B,28,35.0,980.0
2024-01-29,S1,C,55,12.0,660.0
2024-01-29,S2,A,39,20.0,780.0
2024-01-29,S2,B,20,35.0,700.0
2024-01-29,S2,C,69,12.0,828.0
2024-01-29,S3,A,35,20.0,700.0
2024-01-29,S3,B,28,35.0,980.0
2024-01-29,S3,C,71,12.0,852.0
2024-01-29,S4,A,46,20.0,920.0
2024-01-29,S4,B,21,35.0,735.0
2024-01-29,S4,C,70,12.0,840.0
2024-01-29,S5,A,53,20.0,1060.0
2024-01-29,S5,B,15,35.0,525.0
2024-01-29,S5,C,52,12.0,624.0
2024-01-30,S1,A,36,20.0,720.0
2024-01-30,S1,B,23,35.0,805.0
2024-01-30,S1,C,50,12.0,600.0
2024-01-30,S2,A,36,20.0,720.0
2024-01-30,S2,B,24,35.0,840.0
2024-01-30,S2,C,60,12.0,720.0
2024-01-30,S3,A,35,20.0,700.0
2024-01-30,S3,B,22,35.0,770.0
2024-01-30,S3,C,58,12.0,696.0
2024-01-30,S4,A,39,20.0,780.0
2024-01-30,S4,B,21,35.0,735.0
2024-01-30,S4,C,60,12.0,720.0
2024-01-30,S5,A,34,20.0,680.0
2024-01-30,S5,B,16,35.0,560.0
2024-01-30,S5,C,55,12.0,660.0
2024-01-31,S1,A,34,20.0,680.0
2024-01-31,S1,B,29,35.0,1015.0
2024-01-31,S1,C,48,12.0,576.0
2024-01-31,S2,A,22,20.0,440.0
2024-01-31,S2,B,15,35.0,525.0
2024-01-31,S2,C,57,12.0,684.0
2024-01-31,S3,A,32,20.0,640.0
2024-01-31,S3,B,31,35.0,1085.0
2024-01-31,S3,C,72,12.0,864.0
2024-01-31,S4,A,31,20.0,620.0
2024-01-31,S4,B,12,35.0,420.0
2024-01-31,S4,C,68,12.0,816.0
2024-01-31,S5,A,28,20.0,560.0
2024-01-31,S5,B,17,35.0,595.0
2024-01-31,S5,C,46,12.0,552.0
2024-02-01,S1,A,51,20.0,1020.0
2024-02-01,S1,B,31,35.0,1085.0
2024-02-01,S1,C,91,12.0,1092.0
2024-02-01,S2,A,54,20.0,1080.0
2024-02-01,S2,B,28,35.0,980.0
2024-02-01,S2,C,72,12.0,864.0
2024-02-01,S3,A,47,20.0,940.0
2024-02-01,S3,B,34,35.0,1190.0
2024-02-01,S3,C,70,12.0,840.0
2024-02-01,S4,A,52,20.0,1040.0
2024-02-01,S4,B,25,35.0,875.0
2024-02-01,S4,C,83,12.0,996.0
2024-02-01,S5,A,34,20.0,680.0
2024-02-01,S5,B,32,35.0,1120.0
2024-02-01,S5,C,59,12.0,708.0
2024-02-02,S1,A,48,20.0,960.0
2024-02-02,S1,B,25,35.0,875.0
2024-02-02,S1,C,91,12.0,1092.0
2024-02-02,S2,A,55,20.0,1100.0
2024-02-02,S2,B,33,35.0,1155.0
2024-02-02,S2,C,113,12.0,1356.0
2024-02-02,S3,A,41,20.0,820.0
2024-02-02,S3,B,24,35.0,840.0
2024-02-02,S3,C,91,12.0,1092.0
2024-02-02,S4,A,39,20.0,780.0
2024-02-02,S4,B,35,35.0,1225.0
2024-02-02,S4,C,76,12.0,912.0
2024-02-02,S5,A,50,20.0,1000.0
2024-02-02,S5,B,28,35.0,980.0
2024-02-02,S5,C,85,12.0,1020.0
2024-02-03,S1,A,64,20.0,1280.0
2024-02-03,S1,B,22,35.0,770.0
2024-02-03,S1,C,75,12.0,900.0
2024-02-03,S2,A,63,20.0,1260.0
2024-02-03,S2,B,24,35.0,840.0
2024-02-03,S2,C,85,12.0,1020.0
2024-02-03,S3,A,40,20.0,800.0
2024-02-03,S3,B,19,35.0,665.0
2024-02-03,S3,C,84,12.0,1008.0
2024-02-03,S4,A,46,20.0,920.0
2024-02-03,S4,B,27,35.0,945.0
2024-02-03,S4,C,98,12.0,1176.0
2024-02-03,S5,A,48,20.0,960.0
2024-02-03,S5,B,32,35.0,1120.0
2024-02-03,S5,C,92,12.0,1104.0
2024-02-04,S1,A,63,20.0,1260.0
2024-02-04,S1,B,24,35.0,840.0
2024-02-04,S1,C,72,12.0,864.0
2024-02-04,S2,A,41,20.0,820.0
2024-02-04,S2,B,34,35.0,1190.0
2024-02-04,S2,C,89,12.0,1068.0
2024-02-04,S3,A,31,20.0,620.0
2024-02-04,S3,B,26,35.0,910.0
2024-02-04,S3,C,84,12.0,1008.0
2024-02-04,S4,A,51,20.0,1020.0
2024-02-04,S4,B,14,35.0,490.0
2024-02-04,S4,C,98,12.0,1176.0
2024-02-04,S5,A,49,20.0,980.0
2024-02-04,S5,B,37,35.0,1295.0
2024-02-04,S5,C,81,12.0,972.0
2024-02-05,S1,A,47,20.0,940.0
2024-02-05,S1,B,15,35.0,525.0
2024-02-05,S1,C,102,12.0,1224.0
2024-02-05,S2,A,48,20.0,960.0
2024-02-05,S2,B,22,35.0,770.0
2024-02-05,S2,C,78,12.0,936.0
2024-02-05,S3,A,46,20.0,920.0
2024-02-05,S3,B,22,35.0,770.0
2024-02-05,S3,C,73,12.0,876.0
2024-02-05,S4,A,37,20.0,740.0
2024-02-05,S4,B,22,35.0,770.0
2024-02-05,S4,C,83,12.0,996.0
2024-02-05,S5,A,39,20.0,780.0
2024-02-05,S5,B,31,35.0,1085.0
2024-02-05,S5,C,75,12.0,900.0
2024-02-06,S1,A,41,20.0,820.0
2024-02-06,S1,B,23,35.0,805.0
2024-02-06,S1,C,63,12.0,756.0
2024-02-06,S2,A,34,20.0,680.0
2024-02-06,S2,B,24,35.0,840.0
2024-02-06,S2,C,51,12.0,612.0
2024-02-06,S3,A,45,20.0,900.0
2024-02-06,S3,B,19,35.0,665.0
2024-02-06,S3,C,53,12.0,636.0
2024-02-06,S4,A,40,20.0,800.0
2024-02-06,S4,B,20,35.0,700.0
2024-02-06,S4,C,73,12.0,876.0
2024-02-06,S5,A,43,20.0,860.0
2024-02-06,S5,B,14,35.0,490.0
2024-02-06,S5,C,70,12.0,840.0
2024-02-07,S1,A,49,20.0,980.0
2024-02-07,S1,B,26,35.0,910.0
2024-02-07,S1,C,74,12.0,888.0
2024-02-07,S2,A,36,20.0,720.0
2024-02-07,S2,B,22,35.0,770.0
2024-02-07,S2,C,73,12.0,876.0
2024-02-07,S3,A,37,20.0,740.0
2024-02-07,S3,B,20,35.0,700.0
2024-02-07,S3,C,68,12.0,816.0
2024-02-07,S4,A,34,20.0,680.0
2024-02-07,S4,B,29,35.0,1015.0
2024-02-07,S4,C,57,12.0,684.0
2024-02-07,S5,A,31,20.0,620.0
2024-02-07,S5,B,22,35.0,770.0
2024-02-07,S5,C,65,12.0,780.0
2024-02-08,S1,A,42,20.0,840.0
2024-02-08,S1,B,18,35.0,630.0
2024-02-08,S1,C,77,12.0,924.0
2024-02-08,S2,A,52,20.0,1040.0
2024-02-08,S2,B,18,35.0,630.0
2024-02-08,S2,C,82,12.0,984.0
2024-02-08,S3,A,48,20.0,960.0
2024-02-08,S3,B,23,35.0,805.0
2024-02-08,S3,C,95,12.0,1140.0
2024-02-08,S4,A,43,20.0,860.0
2024-02-08,S4,B,28,35.0,980.0
2024-02-08,S4,C,87,12.0,1044.0
2024-02-08,S5,A,48,20.0,960.0
2024-02-08,S5,B,24,35.0,840.0
2024-02-08,S5,C,76,12.0,912.0
2024-02-09,S1,A,43,20.0,860.0
2024-02-09,S1,B,27,35.0,945.0
2024-02-09,S1,C,97,12.0,1164.0
2024-02-09,S2,A,65,20.0,1300.0
2024-02-09,S2,B,30,35.0,1050.0
2024-02-09,S2,C,98,12.0,1176.0
2024-02-09,S3,A,56,20.0,1120.0
2024-02-09,S3,B,33,35.0,1155.0
2024-02-09,S3,C,93,12.0,1116.0
2024-02-09,S4,A,47,20.0,940.0
2024-02-09,S4,B,21,35.0,735.0
2024-02-09,S4,C,84,12.0,1008.0
2024-02-09,S5,A,59,20.0,1180.0
2024-02-09,S5,B,23,35.0,805.0
2024-02-09,S5,C,73,12.0,876.0
2024-02-10,S1,A,68,20.0,1360.0
2024-02-10,S1,B,28,35.0,980.0
2024-02-10,S1,C,89,12.0,1068.0
2024-02-10,S2,A,52,20.0,1040.0
2024-02-10,S2,B,25,35.0,875.0
2024-02-10,S2,C,102,12.0,1224.0
2024-02-10,S3,A,50,20.0,1000.0
2024-02-10,S3,B,20,35.0,700.0
2024-02-10,S3,C,86,12.0,1032.0
2024-02-10,S4,A,64,20.0,1280.0
2024-02-10,S4,B,22,35.0,770.0
2024-02-10,S4,C,79,12.0,948.0
2024-02-10,S5,A,67,20.0,1340.0
2024-02-10,S5,B,23,35.0,805.0
2024-02-10,S5,C,94,12.0,1128.0
2024-02-11,S1,A,43,20.0,860.0
2024-02-11,S1,B,26,35.0,910.0
2024-02-11,S1,C,83,12.0,996.0
2024-02-11,S2,A,35,20.0,700.0
2024-02-11,S2,B,22,35.0,770.0
2024-02-11,S2,C,75,12.0,900.0
2024-02-11,S3,A,56,20.0,1120.0
2024-02-11,S3,B,23,35.0,805.0
2024-02-11,S3,C,82,12.0,984.0
2024-02-11,S4,A,46,20.0,920.0
2024-02-11,S4,B,17,35.0,595.0
2024-02-11,S4,C,83,12.0,996.0
2024-02-11,S5,A,51,20.0,1020.0
2024-02-11,S5,B,19,35.0,665.0
2024-02-11,S5,C,79,12.0,948.0
